,host_response_rate,host_is_superhost,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_business_travel_ready,cancellation_policy,zvi,Number_of_days_as_host,number_of_amenities,review_period
6431,100,t,2,2.0,1.0,1.0,60,0,25,1,10,0,0,38,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,1096.0,38,678.0
6432,100,t,2,2.0,1.0,0.0,70,0,25,1,10,0,0,33,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,1096.0,39,685.0
6433,100,t,8,2.0,4.0,4.0,250,0,100,4,10,16,37,78,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,1096.0,40,982.0
6434,98,f,2,1.0,1.0,1.0,19,0,17,1,0,41,71,217,88.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,989.0,50,869.0
6435,100,f,2,1.0,1.0,1.0,50,0,5,2,25,5,22,150,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1896,945.0,18,880.0
6436,100,f,4,1.0,2.0,2.0,175,200,100,4,0,38,66,23,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,1896,936.0,23,663.0
6437,100,t,8,2.0,4.0,4.0,240,0,100,4,10,17,34,75,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,1096.0,40,761.0
6438,100,t,16,4.0,8.0,0.0,600,0,200,8,10,13,30,55,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,1096.0,42,706.0
6439,98,f,2,1.0,1.0,1.0,19,0,17,1,0,39,68,233,89.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,989.0,50,812.0
6440,98,f,2,1.0,1.0,1.0,19,0,19,1,0,40,70,236,87.0,9.0,9.0,10.0,9.0,10.0,9.0,f,flexible,1896,989.0,37,808.0
6441,100,f,4,2.0,2.0,2.0,252,400,133,4,5,23,45,56,90.0,10.0,9.0,10.0,9.0,9.0,9.0,f,strict_14_with_grace_period,1896,1698.0,34,721.0
6442,100,f,4,2.0,2.0,2.0,242,400,144,4,5,41,71,44,94.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1896,1698.0,34,690.0
6443,43,f,5,1.0,1.0,1.0,210,150,50,2,20,4,16,18,100.0,10.0,9.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,2665.0,20,791.0
6444,98,f,2,1.0,1.0,1.0,19,0,17,1,0,30,58,209,89.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,989.0,39,761.0
6445,98,f,2,1.0,1.0,1.0,19,0,17,1,0,50,80,161,88.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,989.0,39,764.0
6446,0,f,4,1.0,1.0,1.0,95,0,25,1,0,0,0,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,1672.0,21,643.0
6447,98,f,2,1.0,1.0,1.0,19,0,17,1,0,39,69,225,91.0,9.0,9.0,10.0,9.0,10.0,9.0,f,flexible,1896,989.0,38,754.0
6448,100,f,4,2.0,2.0,2.0,235,400,135,4,5,36,66,54,95.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,1896,1698.0,34,680.0
6449,100,t,2,1.0,1.0,1.0,130,0,55,6,0,30,51,114,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,1499.0,41,708.0
6450,100,f,4,2.0,2.0,2.0,241,400,127,4,5,36,66,38,94.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1896,1698.0,34,675.0
6451,43,f,5,1.0,1.0,2.0,175,150,150,2,20,10,40,14,97.0,10.0,9.0,9.0,10.0,10.0,9.0,f,strict_14_with_grace_period,1896,2665.0,19,679.0
6452,100,t,2,2.0,1.0,1.0,60,0,25,1,10,0,0,9,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,1096.0,40,394.0
6453,100,t,2,2.0,1.0,1.0,60,0,25,1,10,0,0,2,80.0,9.0,7.0,9.0,9.0,10.0,8.0,f,moderate,1896,1096.0,40,228.0
6454,100,t,2,2.0,1.0,1.0,60,0,25,1,10,0,0,12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,1096.0,40,433.0
6455,100,f,1,1.0,1.0,1.0,15,0,19,1,0,49,79,160,89.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,727.0,38,651.0
6456,100,f,2,1.0,1.0,1.0,75,250,50,2,100,29,59,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,strict_14_with_grace_period,1896,988.0,28,0.0
6457,100,f,2,1.0,2.0,3.0,78,500,150,1,0,60,90,3,100.0,10.0,10.0,10.0,10.0,10.0,9.0,f,flexible,1896,1911.0,30,218.0
6458,100,f,2,1.0,1.0,1.0,300,100,100,1,0,17,26,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1896,686.0,22,0.0
6459,100,f,2,1.0,1.0,1.0,19,0,15,1,0,55,85,126,84.0,9.0,8.0,10.0,9.0,9.0,9.0,f,flexible,1896,727.0,37,554.0
6460,0,t,2,1.0,1.0,1.0,60,0,10,1,8,0,0,42,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1896,2393.0,11,177.0
6461,100,f,2,1.0,1.0,1.0,19,0,19,1,0,52,82,109,85.0,9.0,9.0,10.0,9.0,10.0,9.0,f,flexible,1896,727.0,36,492.0
6462,0,f,1,1.0,1.0,1.0,34,0,0,1,0,0,0,3,87.0,8.0,7.0,9.0,9.0,9.0,9.0,f,strict_14_with_grace_period,1896,560.0,8,19.0
6463,100,f,8,1.0,2.0,3.0,185,0,75,4,50,38,68,56,93.0,9.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,1896,1916.0,30,450.0
6464,100,f,4,2.0,2.0,2.0,164,400,129,4,0,33,60,23,93.0,9.0,10.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1896,1698.0,34,412.0
6465,100,f,2,1.0,1.0,1.0,90,0,10,1,0,32,62,98,94.0,10.0,9.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,1875.0,22,462.0
6466,0,f,1,1.0,0.0,1.0,150,150,25,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,flexible,1896,1459.0,15,0.0
6467,0,f,2,1.0,1.0,1.0,48,0,0,1,0,0,0,4,93.0,10.0,9.0,8.0,10.0,10.0,10.0,f,flexible,1896,504.0,15,16.0
6468,0,f,2,1.0,1.0,1.0,200,200,45,1,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,strict_14_with_grace_period,1896,760.0,19,0.0
6469,100,f,2,1.0,1.0,1.0,100,0,10,1,0,29,59,106,95.0,10.0,9.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,1875.0,19,452.0
6470,0,f,1,1.5,1.0,1.0,20,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,flexible,1896,974.0,17,0.0
6471,98,f,2,1.0,1.0,1.0,19,0,17,1,0,54,84,102,85.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,989.0,45,446.0
6472,0,f,2,1.0,1.0,1.0,65,0,0,1,0,0,0,6,72.0,8.0,7.0,8.0,8.0,10.0,9.0,f,flexible,1896,833.0,22,23.0
6473,100,t,4,2.0,2.0,0.0,215,0,100,4,50,17,25,40,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,786.0,38,357.0
6474,100,t,4,1.0,1.0,3.0,200,500,50,1,25,25,43,67,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,1360.0,25,424.0
6475,100,t,4,1.0,1.0,1.0,165,250,100,4,100,23,36,44,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,602.0,48,386.0
6476,100,t,3,1.0,1.0,2.0,109,250,39,2,30,47,77,71,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,449.0,32,411.0
6477,0,f,2,1.0,1.0,2.0,100,0,0,1,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1896,1161.0,34,0.0
6478,100,t,2,1.0,1.0,2.0,125,0,55,2,25,7,9,39,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,1332.0,28,326.0
6479,100,t,2,1.0,1.0,1.0,70,120,0,1,40,0,0,29,94.0,10.0,9.0,9.0,10.0,10.0,10.0,f,moderate,1896,400.0,28,301.0
6480,98,f,2,1.0,1.0,1.0,19,0,17,1,0,45,75,82,84.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,989.0,38,351.0
6481,98,f,2,1.0,1.0,1.0,19,0,17,1,0,8,8,92,83.0,9.0,9.0,9.0,9.0,9.0,9.0,f,flexible,1896,989.0,32,357.0
6482,100,t,7,1.0,0.0,1.0,220,0,175,2,25,39,69,17,92.0,9.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,1896,2164.0,27,160.0
